Driver_ID,Name,Degree,Degree_Centrality,Betweenness_Centrality,Eigenvector_Centrality
132,Amati,4,0.004651162790697674,2.0041462864715255e-05,0.012749018074461443
116,Lagorce,4,0.004651162790697674,9.024374836433205e-07,0.0007997752491414515
149,Langes,4,0.004651162790697674,0.0,0.0004241640128136455
109,Järvilehto,4,0.004651162790697674,4.131339218586344e-06,0.0008814994531911885
84,Brundle,4,0.004651162790697674,0.0,0.017866123486592993
65,Herbert,4,0.004651162790697674,0.0,0.020988773081432932
143,Bartels,4,0.004651162790697674,0.0,0.0009344270554960125
89,Inoue,4,0.004651162790697674,0.0,0.00805374584200935
111,Gounon,3,0.0034883720930232558,0.0,0.0007803950093946524
120,Barbazza,3,0.0034883720930232558,0.0,0.000629156979661866
62,Yoong,3,0.0034883720930232558,0.0,0.015425428711856292
112,Alliot,3,0.0034883720930232558,0.0,0.00047011659819453327
147,Barilla,3,0.0034883720930232558,0.0005279259279313425,0.008955423023940368
148,Foitek,3,0.0034883720930232558,0.0,0.008948041406957014
47,Baumgartner,3,0.0034883720930232558,0.0,0.013618940802648848
160,Ghinzani,3,0.0034883720930232558,0.0,0.0007657270447910356
157,Danner,3,0.0034883720930232558,0.0,0.0009026942705881772
136,Lammers,3,0.0034883720930232558,0.0,0.0010291718317352648
85,Montermini,3,0.0034883720930232558,0.0,0.006473185948364408
193,Sullivan,3,0.0034883720930232558,0.0,0.006473185948364407
156,Palmer,3,0.0034883720930232558,0.0,0.0010285726396124257
126,Suzuki,2,0.002325581395348837,0.0,0.010625776503074025
72,Sarrazin,2,0.002325581395348837,0.0,0.010461124404054245
137,Piquet,2,0.002325581395348837,0.0,0.004023878514842932
68,Takagi,2,0.002325581395348837,0.0,0.00611176940870337
115,Noda,2,0.002325581395348837,0.0,0.0006051215566451591
162,Raphanel,2,0.002325581395348837,0.0,0.00036077737814020654
101,Brabham,2,0.002325581395348837,0.0,0.00772967581451291
163,Arnoux,2,0.002325581395348837,0.0,0.007773290519769363
96,Boullion,2,0.002325581395348837,0.0,0.008591361246803816
146,Schneider,2,0.002325581395348837,0.0,0.006295524147062193
121,Andretti,1,0.0011627906976744186,0.0,0.0003069496505793022
122,Capelli,1,0.0011627906976744186,0.0,0.0003069496505793022
123,Boutsen,1,0.0011627906976744186,0.0,0.007483034993480934
124,Apicella,1,0.0011627906976744186,0.0,0.00377158385262628
71,Hill,1,0.0011627906976744186,0.0,0.0034173792401459165
61,Enge,1,0.0011627906976744186,0.0,0.0010576838884594686
186,Acheson,1,0.0011627906976744186,0.0,0.00458693430491982
90,Moreno,1,0.0011627906976744186,0.0,0.0028565883633098507
